Scenario	Replication	[StatsEaten3].NumberProcessed		[StatsEaten3].SampleAverage/1[min]		[StatsEatenQueue3].SampleAverage/1[min]		[StatsEaten3].SampleStandardDeviation/1[min]		[StatsAttempt3].NumberProcessed		[StatsAttempt3].SampleAverage/1[min]		[StatsAttempt3].SampleStandardDeviation/1[min]		[StatsEaten5].NumberProcessed		[StatsEaten5].SampleAverage/1[min]		[StatsEatenQueue5].SampleAverage/1[min]		[StatsEaten5].SampleStandardDeviation/1[min]		[StatsAttempt5].NumberProcessed		[StatsAttempt5].SampleAverage/1[min]		[StatsAttempt5].SampleStandardDeviation/1[min]		[RejectedTwice1].NumberProcessed		[RejectedTwice2].NumberProcessed		[RejectedTwice3].NumberProcessed		[RejectedTwice4].NumberProcessed		[RejectedTwice5].NumberProcessed	
1	16	1509.0		3.0370814950470826		9.27667481369096		0.9140314978590621		1520.0		9.145514216480516		6.896106381686904		990.0		3.0116913475522233		5.1873341099642305		1.0965259630704753		990.0		5.1873341099642305		4.228460044035474		0.0		0.0		0.0		0.0		1.0	
1	17	1491.0		2.8718833175916543		8.697191393514428		0.8336058548149805		1508.0		8.69738567824599		6.6911689807540835		993.0		3.0309977802951837		6.115920966138706		0.7530453308699703		993.0		6.115920966138706		4.778454214679524		0.0		1.0		0.0		0.0		3.0	
1	18	1433.0		2.9739313481976746		8.838011903805945		0.8048628437386612		1454.0		8.697952877509039		6.448675246153568		1005.0		3.1808129057020733		6.135625158073212		0.837484906598923		1006.0		6.117780195773447		4.998911300915598		0.0		4.0		0.0		0.0		2.0	
1	19	1506.0		2.8603157475727032		9.392657584025244		0.8273161258205177		1518.0		9.381935416225145		6.5798040903361885		993.0		2.9832085399731616		4.349900651513628		0.8443411428194935		993.0		4.349900651513628		3.3933958262629833		0.0		0.0		0.0		0.0		2.0	
1	20	1404.0		2.9276077880178013		7.373405952518974		0.7770609730055903		1431.0		7.326915110854596		5.070788989484113		1003.0		2.988638761885186		5.0914218182533535		0.7718605889037903		1007.0		5.085177306980586		4.163177708740919		0.0		5.0		0.0		0.0		2.0	
1	21	1472.0		2.9429986576303673		8.892228347196403		0.9271144596024323		1492.0		8.837649413277449		6.580952888981313		990.0		2.9015437065202625		4.591557143782779		0.7758922082294792		990.0		4.591557143782779		3.431096971360222		0.0		6.0		0.0		0.0		0.0	
1	22	1417.0		3.015368481864906		8.835425367363285		0.8805859592603238		1445.0		8.835113228728138		6.9015169282139		1002.0		2.740728462264436		6.128604928614217		0.7456607900378027		1002.0		6.128604928614217		4.880102399206494		0.0		3.0		1.0		0.0		3.0	
1	23	1475.0		2.8724679713384447		8.34022712581339		0.8032356201841566		1484.0		8.343314277241504		5.95178528620718		985.0		3.1475463906152497		4.914075901165731		1.1231133312704744		985.0		4.914075901165731		4.03293281525656		0.0		1.0		0.0		0.0		2.0	
1	24	1477.0		2.8858237599195093		8.146741217353766		0.8075129686233952		1496.0		8.152703742665315		5.836558748576766		1000.0		2.8078063868168304		5.191922852872808		0.6882532270462877		1001.0		5.192186387861337		3.9815139775646506		0.0		3.0		0.0		0.0		2.0	
1	25	1409.0		2.8957083314991032		8.697740383881525		0.8357327503550954		1433.0		8.569451943739555		6.026062923490413		991.0		2.9314319060418748		5.353557333037427		0.9019436058431158		992.0		5.354336779928679		4.25585940378686		0.0		6.0		0.0		0.0		1.0	
1	26	1458.0		2.9217868351020946		7.675540169828337		0.7709609836750791		1488.0		7.725338999463083		5.7013062991808825		1009.0		2.993597509952819		5.333567256826612		0.7274338676622488		1010.0		5.335127047033075		4.165547550893073		0.0		5.0		0.0		0.0		4.0	
1	27	1504.0		2.896839598646414		9.654330231503549		0.7812841983075356		1522.0		9.634597219574355		6.963931127503685		998.0		2.8912209179325363		5.300197598826136		0.8383587638777443		999.0		5.302144549462373		4.043435002738832		0.0		1.0		0.0		0.0		2.0	
1	28	1484.0		2.9418352101546232		8.547465760964126		0.834404367650092		1507.0		8.574487661997205		6.434036875325772		1016.0		3.0534831610241704		5.56782824756441		0.8968210986188974		1016.0		5.56782824756441		4.143010854921822		0.0		4.0		0.0		0.0		1.0	
1	29	1468.0		3.0619920856024567		8.30229981001607		0.8725278060729446		1489.0		8.287788893150655		6.045925343122566		1009.0		2.857117237462745		5.424289409422193		0.7784215576861336		1010.0		5.418516538906041		4.301770813089431		0.0		4.0		0.0		0.0		1.0	
1	30	1504.0		2.857243271961724		8.488280130962245		0.7785984743865103		1525.0		8.504319901083667		6.1735694558178205		1000.0		2.8619804354403944		5.343976746543492		0.8214890009444977		1001.0		5.347839713844534		4.382057594839695		0.0		2.0		0.0		0.0		3.0	
1	31	1430.0		2.9718009753734154		8.45719209280868		0.9122301787968448		1452.0		8.43612516472661		6.577168655147016		984.0		3.1021381490684328		5.21359915469431		0.9808499694315552		985.0		5.201970335506858		4.283658906238284		0.0		3.0		0.0		0.0		3.0	
1	32	1502.0		2.9311692300229724		9.853429955166213		0.9213498389427736		1511.0		9.722546278165273		7.404199400284518		992.0		2.8923500514115967		5.131114012256087		0.9740829260867498		993.0		5.13287874675386		3.849586574168748		0.0		0.0		0.0		0.0		1.0	
1	33	1484.0		2.9484389339295474		8.696249202771696		0.8251442959589382		1509.0		8.667382039504371		6.10830657597574		1012.0		3.1121189086512797		5.112160589668405		1.0223204981474485		1012.0		5.112160589668405		3.8982807505534343		0.0		2.0		0.0		0.0		3.0	
1	34	1495.0		3.0955890704735674		9.71574674995109		0.9330543813949322		1511.0		9.715778533623824		6.807660827509394		999.0		3.1010516505354127		5.030482138487814		0.8697272597121912		999.0		5.030482138487814		3.8389626525288505		0.0		1.0		0.0		0.0		3.0	
1	35	1474.0		3.0156440521016608		8.482845870174277		1.0188124062994477		1493.0		8.508548749273556		6.235371077929348		1006.0		2.9572628858021606		4.801768168068256		0.785805758556675		1006.0		4.801768168068256		3.6512629613770673		0.0		2.0		1.0		0.0		3.0	
1	36	1523.0		2.881201008966903		7.644472842594348		0.7476405301502265		1532.0		7.662874347382357		5.402570001590606		997.0		2.949011143428621		4.4892012653175914		0.8050512785748407		998.0		4.475380845440523		3.231229246131538		0.0		0.0		0.0		0.0		1.0	
1	37	1463.0		2.967227495839196		9.20963075484611		0.9679120892838513		1476.0		9.176394446124696		6.766917563998953		987.0		2.8281514417065403		5.001640278267716		0.6893931944925701		987.0		5.001640278267716		3.7003780914454194		0.0		1.0		0.0		0.0		3.0	
1	38	1519.0		2.8755324443510797		9.620938489618897		0.7724871834970296		1527.0		9.608909468868328		6.637543815909308		1000.0		2.9936552424523475		6.4797355548873155		0.8703868556564083		1000.0		6.4797355548873155		4.944998664842243		0.0		0.0		0.0		0.0		1.0	
1	39	1504.0		2.9581559790324503		8.263684741044969		0.8531429746937244		1520.0		8.261121957631088		6.147521478932006		999.0		3.0307302879328435		6.180162140156784		0.7407224264950698		999.0		6.180162140156784		4.919835999901563		0.0		1.0		0.0		0.0		3.0	
1	40	1524.0		2.9570756259191953		8.268517255735068		0.9731407008889225		1533.0		8.260377425830255		5.91463888132891		1005.0		3.0015632558493133		5.332681234730947		0.8349683021516736		1006.0		5.328372169791883		3.9044335812519635		0.0		1.0		0.0		0.0		0.0	
1	41	1435.0		2.9888247450464704		8.119352045686666		0.9100862040532695		1456.0		8.163159752941342		6.018466331116381		993.0		3.029227981594634		5.51988858135031		0.7896085688877981		993.0		5.51988858135031		4.205196887791187		0.0		2.0		1.0		0.0		3.0	
1	42	1467.0		2.975409337896541		7.796640803905762		0.9507516734196246		1485.0		7.825321476231921		5.965539855814429		1002.0		2.892843621411558		4.947498957745472		0.8499991540780063		1002.0		4.947498957745472		3.5864870837987044		0.0		3.0		0.0		0.0		3.0	
1	43	1420.0		3.0419671917647615		8.006691341031017		0.7640173902284835		1442.0		8.029052506122675		5.792379452023935		989.0		2.806235831104418		4.5783136310456		0.755023833142328		990.0		4.576091025974333		3.3750884100029857		0.0		3.0		0.0		0.0		4.0	
1	44	1389.0		2.9170495398081826		9.074146335997757		0.9291213790566928		1412.0		9.144266233816598		6.507042606488529		996.0		3.0776040584133924		5.32402881176754		0.9463474762397523		996.0		5.32402881176754		4.101291480732172		0.0		3.0		1.0		0.0		3.0	
1	45	1471.0		2.863458584158589		9.639271183891593		0.8751822807631052		1487.0		9.564307358828744		7.003880524021705		991.0		2.827043576362313		5.237993374910153		0.6575207018689375		991.0		5.237993374910153		3.8878846638130464		0.0		1.0		0.0		0.0		2.0	
