Scenario	Replication	[StatsEaten3].NumberProcessed		[StatsEaten3].SampleAverage/1[min]		[StatsEatenQueue3].SampleAverage/1[min]		[StatsEaten3].SampleStandardDeviation/1[min]		[StatsAttempt3].NumberProcessed		[StatsAttempt3].SampleAverage/1[min]		[StatsAttempt3].SampleStandardDeviation/1[min]		[StatsEaten5].NumberProcessed		[StatsEaten5].SampleAverage/1[min]		[StatsEatenQueue5].SampleAverage/1[min]		[StatsEaten5].SampleStandardDeviation/1[min]		[StatsAttempt5].NumberProcessed		[StatsAttempt5].SampleAverage/1[min]		[StatsAttempt5].SampleStandardDeviation/1[min]		[StatsEaten6].NumberProcessed		[StatsEaten6].SampleAverage/1[min]		[StatsEatenQueue6].SampleAverage/1[min]		[StatsEaten6].SampleStandardDeviation/1[min]		[StatsAttempt6].NumberProcessed		[StatsAttempt6].SampleAverage/1[min]		[StatsAttempt6].SampleStandardDeviation/1[min]		[RejectedTwice1].NumberProcessed		[RejectedTwice2].NumberProcessed		[RejectedTwice3].NumberProcessed		[RejectedTwice4].NumberProcessed		[RejectedTwice5].NumberProcessed	
1	11	657.0		2.9379538545374633		13.509684908274766		0.8045226563927799		699.0		13.950623117805316		10.145222068766332		623.0		2.8469623481311572		15.334185618039642		0.8384782632789259		658.0		15.778543847259726		11.594025870074725		735.0		0.7012768914853434		3.3926383316654674		0.5194743444056208		735.0		3.3926383316654674		2.608133721874657		4.0		0.0		7.0		10.0		12.0	
1	12	609.0		2.9499932360482015		13.416630891467474		0.8731063587146239		655.0		13.48119248603312		9.623815874486326		617.0		2.9508053505370384		12.20170006875322		0.9310828304819722		659.0		12.369322703790768		8.641507834598768		730.0		0.7585431986082034		3.943856961387726		0.38171722744061937		730.0		3.943856961387726		2.692406775489091		5.0		0.0		6.0		13.0		12.0	
1	13	568.0		2.910025348113526		13.466207694698971		0.8249088135504776		613.0		13.77143207806419		9.871514443120141		604.0		2.934832878496601		14.150562840732956		0.9609153053630894		645.0		14.183730550984459		9.498949906552395		738.0		0.7265590733058839		3.5042736055313117		0.35683793073830644		738.0		3.5042736055313117		2.4007509389828945		5.0		0.0		7.0		12.0		13.0	
1	14	611.0		2.7938595448785013		12.93703626372702		0.9044590084556278		654.0		13.289227048135709		9.347929139334072		613.0		2.816957887266191		12.835983816805234		0.8990555624657033		648.0		12.701522889762403		8.84426163502953		747.0		0.746713176953161		4.156857612636243		0.4354580701395145		747.0		4.156857612636243		2.5366001056290908		5.0		0.0		6.0		10.0		12.0	
1	15	546.0		3.0162156526743886		13.472463877011153		1.0587631674347644		593.0		13.775399865162482		10.34827045444228		542.0		3.113620240580554		12.292999338648206		0.9471415966771143		582.0		12.842071203751882		10.18584523378651		732.0		0.6856322715868447		3.587029072371965		0.37841568126538316		732.0		3.587029072371965		2.2707169967636336		4.0		0.0		8.0		13.0		13.0	
1	16	598.0		2.9034855235740116		13.17596580241446		0.9333127402495761		647.0		13.351530774794595		9.567527765431771		530.0		3.0330749682534677		12.944485818591522		0.9624509463840414		574.0		13.232804231698005		9.175188297597924		742.0		0.7072445911700043		4.052256188303558		0.36743699896660154		742.0		4.052256188303558		2.8984646185212117		5.0		0.0		9.0		12.0		13.0	
1	17	651.0		2.820396899107096		14.03965085152786		0.9887646772923796		690.0		14.2484946368856		9.91338295353628		587.0		3.0480905042302866		15.505870085878133		0.8084815017587726		627.0		15.48809988825871		11.326199565837241		741.0		0.6914873079924985		3.0407114068339265		0.49410025713523803		741.0		3.0407114068339265		2.11554516113512		6.0		0.0		6.0		10.0		12.0	
1	18	570.0		3.0049381918171902		13.71348869638021		1.0565706369687662		622.0		13.742611051161594		9.750271551462683		509.0		2.974632670699599		12.31049115272082		1.1115642149563096		556.0		12.920376930992287		10.173336454064822		746.0		0.7038862432440296		3.8462780006350887		0.33931101415895276		746.0		3.8462780006350887		2.462586493238844		9.0		0.0		8.0		13.0		13.0	
1	19	603.0		2.791586771047103		14.577460153671117		0.907430732499384		643.0		14.850620997157849		10.923758805863466		629.0		2.8170472195503655		11.15359977822575		1.0187199116384478		667.0		11.085952312184201		7.268678250981244		739.0		0.7296284851742546		3.9238984761632287		0.4225015292281162		739.0		3.9238984761632287		2.696556484655132		2.0		0.0		5.0		13.0		13.0	
1	20	613.0		2.8050221552618715		11.543084073033148		0.8159872170126419		664.0		11.378259647508493		7.250390394186513		624.0		3.0773937506531768		14.337957028663611		1.0614513270124275		666.0		13.848044974442523		10.088144314911425		748.0		0.6741375341094166		3.3780236752267054		0.36932984524180995		748.0		3.3780236752267054		2.5116625020439414		5.0		0.0		8.0		11.0		12.0	
1	21	605.0		2.805068238151149		12.36640358521281		0.9386289595579597		651.0		12.735486078821403		8.962238178779872		644.0		2.984815049143495		14.221816178177912		0.9756819117958961		682.0		13.8063367409849		10.430833484370536		733.0		0.7410762610971671		3.925397601252577		0.3809912611908245		733.0		3.925397601252577		2.4153308795212465		3.0		0.0		8.0		12.0		13.0	
1	22	552.0		3.0625934442960205		13.45093941960884		1.0303845374474399		606.0		14.016497045873525		10.950351709752404		601.0		2.8293875532785426		15.402954053089728		0.9961369060940941		645.0		15.25718392814849		11.187669115378261		743.0		0.7061040352237089		4.175602197978534		0.3129262547822442		743.0		4.175602197978534		2.7981065392372257		7.0		0.0		10.0		11.0		13.0	
