Scenario	Replication	[StatsEaten3].NumberProcessed		[StatsEaten3].SampleAverage/1[min]		[StatsEatenQueue3].SampleAverage/1[min]		[StatsEaten3].SampleStandardDeviation/1[min]		[StatsAttempt3].NumberProcessed		[StatsAttempt3].SampleAverage/1[min]		[StatsAttempt3].SampleStandardDeviation/1[min]		[StatsEaten5].NumberProcessed		[StatsEaten5].SampleAverage/1[min]		[StatsEatenQueue5].SampleAverage/1[min]		[StatsEaten5].SampleStandardDeviation/1[min]		[StatsAttempt5].NumberProcessed		[StatsAttempt5].SampleAverage/1[min]		[StatsAttempt5].SampleStandardDeviation/1[min]		[StatsEaten6].NumberProcessed		[StatsEaten6].SampleAverage/1[min]		[StatsEatenQueue6].SampleAverage/1[min]		[StatsEaten6].SampleStandardDeviation/1[min]		[StatsAttempt6].NumberProcessed		[StatsAttempt6].SampleAverage/1[min]		[StatsAttempt6].SampleStandardDeviation/1[min]		[RejectedTwice1].NumberProcessed		[RejectedTwice2].NumberProcessed		[RejectedTwice3].NumberProcessed		[RejectedTwice4].NumberProcessed		[RejectedTwice5].NumberProcessed	
1	30	994.0		2.7607970034532348		9.442795046120766		0.7715531585332827		1013.0		9.409540345628498		6.646191160468069		961.0		2.8933408877457416		8.616613570617519		0.7642184721729375		973.0		8.658631257527952		6.445729414301302		743.0		0.7681250399017677		1.3771322529669743		0.4146900166945606		743.0		1.3771322529669743		1.1425006811029315		0.0		0.0		0.0		3.0		5.0	
1	31	947.0		3.0179692870264523		9.058847428285087		0.9636299744168196		967.0		8.973403604734433		7.1910499301567326		948.0		3.0117593191275933		8.755889845657906		0.771929762947827		961.0		8.698232886730484		6.2716692748900105		739.0		0.6441265847430694		1.0907134879225893		0.3170129147967703		739.0		1.0907134879225893		0.8677680904145342		0.0		0.0		1.0		2.0		5.0	
1	32	1042.0		2.973540630188337		10.335550746690501		0.8794825220034637		1050.0		10.189029285865946		7.199350373747668		975.0		3.0388257504235363		9.486936910917398		0.855295826514633		981.0		9.47539884246075		6.195160763217672		741.0		0.7796329264531975		1.858063442362694		0.45604477213571065		741.0		1.858063442362694		1.6778000540914197		0.0		0.0		0.0		1.0		2.0	
1	33	1031.0		2.941670363766813		9.47223190726293		0.816284699946802		1042.0		9.480644464509627		6.622756977744176		962.0		3.0831328284534965		8.368813766467376		0.7899740894575441		972.0		8.301059271158142		5.611097072272463		746.0		0.6764306159458188		1.2977944179881973		0.41870421911921585		746.0		1.2977944179881973		1.1766476591221249		0.0		0.0		0.0		3.0		2.0	
1	34	992.0		3.1216478364592275		10.267953926728108		0.9464289426771444		1021.0		10.275027157402487		7.019572617691286		988.0		3.073495374618617		8.565344092194692		0.9724246455281362		994.0		8.576295168643934		6.019149945626295		744.0		0.7313345777896103		1.4990279196657887		0.40851611348904476		744.0		1.4990279196657887		1.2493496851451036		0.0		0.0		1.0		1.0		10.0	
1	35	1033.0		3.016080293814318		8.868864221588067		1.0632164915210838		1050.0		8.878974909793813		6.43448465678638		948.0		3.000835245093704		7.4007012148852125		0.9033362561279827		963.0		7.374406719948511		5.47543004375996		745.0		0.7773867271409631		1.277035056446566		0.43430404648792126		745.0		1.277035056446566		1.0926698373699861		0.0		0.0		2.0		5.0		2.0	
1	36	1046.0		2.8774583907399727		8.830948061865938		0.8229463479601864		1054.0		8.84919469165724		5.796313644245267		986.0		2.9805367776866785		8.697781060634789		0.8016853667724148		995.0		8.659108329187422		5.665609107618933		744.0		0.7574009369973874		1.337098229324146		0.3538852257453357		744.0		1.337098229324146		1.0613908590895886		0.0		0.0		0.0		2.0		2.0	
1	37	1037.0		2.976065908743162		10.573308460135955		0.977672176911329		1056.0		10.443220772591271		7.540546358284765		969.0		2.983024753645729		8.988140903532047		0.7664038920003665		976.0		8.906962555832331		5.729736507364378		738.0		0.6917486339591917		1.1726590725681756		0.42446887237436237		738.0		1.1726590725681756		0.9434200920396137		0.0		0.0		1.0		1.0		4.0	
1	38	1057.0		2.8265802948137115		10.48110558299907		0.7676006604740849		1065.0		10.365546402825014		6.7485997495529215		994.0		2.818859999150096		9.854541034217684		0.8060681861170556		998.0		9.86120362957127		6.687305068976562		733.0		0.6735476194184832		1.5294648588889603		0.3442290630866714		733.0		1.5294648588889603		1.2923572412474447		0.0		0.0		0.0		1.0		1.0	
1	39	1054.0		2.972686395307172		9.055700772994502		0.8527321148473429		1064.0		9.08381081377151		6.045548285984848		989.0		2.947068310394394		10.25648417291667		0.9073882583267694		999.0		10.1602961529932		7.555428588049992		739.0		0.7635053813434393		1.5277312683290103		0.43943088811820114		739.0		1.5277312683290103		1.2286221672849211		0.0		0.0		0.0		0.0		2.0	
